"id","title","shorttitle","icon16x16","href","_blank","appid","itemtype","req_context_item_id","act_type"

"CB11","Agregar agente","Agregar","","/!/catbas/agente/_new/","0","catbas.agente","DET002","0","action"
"CB12","Editar agente","Editar","","/!/catbas/agente/@_src_context_item_id/","0","catbas.agente","DET002","1","action"
"CB13","Eliminar agente","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","catbas.agente","DET002","1","action"

"CB21","Agregar almacen","Agregar","","/!/catbas/almacen/_new/","0","catbas.almacen","DET003","0","action"
"CB22","Editar almacen","Editar","","/!/catbas/almacen/@_src_context_item_id/","0","catbas.almacen","DET003","1","action"
"CB23","Eliminar almacen","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","catbas.almacen","DET003","1","action"

"CB31","Agregar banco","Agregar","","/!/catbas/banco/_new/","0","catbas.banco","DET007","0","action"
"CB32","Editar banco","Editar","","/!/catbas/banco/@_src_context_item_id/","0","catbas.banco","DET007","1","action"
"CB33","Eliminar banco","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","catbas.banco","DET007","1","action"

"CB41","Agregar caja","Agregar","","/!/catbas/caja/_new/","0","catbas.caja","DET008","0","action"
"CB42","Editar caja","Editar","","/!/catbas/caja/@_src_context_item_id/","0","catbas.caja","DET008","1","action"
"CB43","Eliminar caja","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","catbas.caja","DET008","1","action"

"CB51","Agregar cajero","Agregar","","/!/catbas/cajero/_new/","0","catbas.cajero","DET009","0","action"
"CB52","Editar cajero","Editar","","/!/catbas/cajero/@_src_context_item_id/","0","catbas.cajero","DET009","1","action"
"CB53","Eliminar cajero","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","catbas.cajero","DET009","1","action"

"CB61","Agregar categoria","Agregar","","/!/catbas/categoria/_new/","0","catbas.categoria","DET010","0","action"
"CB62","Editar categoria","Editar","","/!/catbas/categoria/@_src_context_item_id/","0","catbas.categoria","DET010","1","action"
"CB63","Eliminar categoria","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","catbas.categoria","DET010","1","action"

"CB71","Agregar centro de consumo","Agregar","","/!/catbas/cconsumo/_new/","0","catbas.cconsumo","DET011","0","action"
