"id","title"
"agente","Agente o vendedor"
"almacen","Almacén"
"banco","Institución bancaria"
"caja","Caja de efectivo"
"cajero","Cajero"
"categoria","Categoría de operaciones"
"cconsumo","Centro de consumo"
"cfgimpuesto","Configuración de impuestos"
"ciudad","Ciudad"
"contacto","Contacto"
"tpoliza","Tipo de póliza"
"pdpto","Departamento de productos"
"divisa","Moneda o divisa"
"marca","Marca"
"pais","País o territorio"
"porteador","Porteador"
"repartidor","Repartidor o chofer"
"tcd","Tarjeta bancaria de crédito o débito"
"tclientes","Tipo de clientes"
"tproveedores","Tipo de proveedores"
"aduana","Aduana"
"zona","Zona o área geográfica"
