"id","title","icon96x96","src","_blank","appid","cat"
"catbas.agente","Agentes","/$/catbas/img/icons/agente.png","/!/catbas/agente/","0","agente","0090"
"catbas.almacen","Almacen","/$/catbas/img/icons/almacen.png","/!/catbas/almacen/","0","almacen","0090"
"catbas.banco","Bancos","/$/catbas/img/icons/banco.png","/!/catbas/banco/","0","banco","0090"
"catbas.caja","Cajas","/$/catbas/img/icons/caja.png","/!/catbas/caja/","0","caja","0090"
"catbas.cajero","Cajeros","/$/catbas/img/icons/cajero.png","/!/catbas/cajero/","0","cajero","0090"
"catbas.categoria","Categorias","/$/catbas/img/icons/categoria.png","/!/catbas/categoria/","0","categoria","0090"
"catbas.cconsumo","Centro de consumo","/$/catbas/img/icons/centro_de_consumo.png","/!/catbas/cconsumo/","0","cconsumo","0090"
"catbas.cfgimpuesto","Configuración de impuestos","/$/catbas/img/icons/impuestos.png","/!/catbas/cfgimpuesto/","0","cfgimpuesto","0090"
"catbas.contacto","Contactos","/$/catbas/img/icons/contacto.png","/!/catbas/contacto/","0","contacto","0090"
"catbas.ctipospolizas","Tipos de pólizas","/$/catbas/img/icons/TipoPolizas.png","/!/catbas/ctipospolizas/","0","ctipospolizas","0090"
"catbas.departamento","Departamentos","/$/catbas/img/icons/departamento.png","/!/catbas/departamento/","0","departamento","0090"
"catbas.divisa","Divisas","/$/catbas/img/icons/divisa.png","/!/catbas/divisa/","0","divisa","0090"
"catbas.marca","Marcas","/$/catbas/img/icons/marca.png","/!/catbas/marca/","0","marca","0090"
"catbas.pais","País","/$/catbas/img/icons/pais.png","/!/catbas/pais/","0","pais","0090"
"catbas.porteador","Porteadores","/$/catbas/img/icons/porteador.png","/!/catbas/porteador/","0","porteador","0090"
"catbas.repartidor","Repartidores","/$/catbas/img/icons/repartidor.png","/!/catbas/repartidor/","0","repartidor","0090"
"catbas.tarjetacredito","Tarjeta de crédito","/$/catbas/img/icons/tarjetas.png","/!/catbas/tarjetacredito/","0","tarjetacredito","0090"
"catbas.tipocliente","Tipos de clientes","/$/catbas/img/icons/tipocliente.png","/!/catbas/tipocliente/","0","tipocliente","0090"
"catbas.tipoproveedor","Tipos de proveedores","/$/catbas/img/icons/tipoproveedor.png","/!/catbas/tipoproveedor/","0","tipoproveedor","0090"
"catbas.ut_aduana","Aduanas","/$/catbas/img/icons/aduana.png","/!/catbas/ut_aduana/","0","ut_aduana","0090"
"catbas.zona","Zonas","/$/catbas/img/icons/zona.png","/!/catbas/zona/","0","zona","0090"
