itemid,description,itemparent
"FX1-00-00-000","Operaciones ERP","FX1-00-00-000"
"FX1-10-00-000","Catálogos","FX1-00-00-000"
"FX1-10-10-000","Agentes","FX1-10-00-000"
"FX1-10-10-001","Solo lectura","FX1-10-10-000"
"FX1-10-10-002","Permitir agregar Agente","FX1-10-10-000"
"FX1-10-10-003","Permitir modificar Agente","FX1-10-10-000"
"FX1-10-10-004","Permitir Eliminar Agente","FX1-10-10-000"
"FX1-10-11-000","Aduanas","FX1-10-00-000"
"FX1-10-11-001","Solo lectura","FX1-11-00-000"
"FX1-10-11-002","Permitir Agregar Aduanas","FX1-10-11-000"
"FX1-10-11-003","Permitir Modificar Aduanas","FX1-10-11-000"
"FX1-10-11-004","Permitir Eliminar Aduanas","FX1-10-11-000"
"FX1-10-30-000","Bancos","FX1-10-00-000"
"FX1-10-30-001","Solo lectura","FX1-10-30-000"
"FX1-10-30-002","Permitir Agregar Banco","FX1-10-30-000"
"FX1-10-30-003","Permitir Modificar Banco","FX1-10-30-000"
"FX1-10-30-004","Permitir Eliminar Banco","FX1-10-30-000"
"FX1-10-20-000","Almacenes","FX1-10-00-000"
"FX1-10-20-001","Solo lectura","FX1-10-20-000"
"FX1-10-20-002","Permitir Agregar Almacen","FX1-10-20-000"
"FX1-10-20-003","Permitir Modificar Almacen","FX1-10-20-000"
"FX1-10-20-004","Permitir Eliminar almacen","FX1-10-20-000"
"FX1-10-40-000","Cajas","FX1-10-00-000"
"FX1-10-40-001","Solo lectura","FX1-10-40-000"
"FX1-10-40-002","Permitir Agregar Caja","FX1-10-40-000"
"FX1-10-40-003","Permitir Modificar Caja","FX1-10-40-000"
"FX1-10-40-004","Permitir Eliminar Caja","FX1-10-40-000"
"FX1-10-50-000","Cajeros","FX1-10-00-000"
"FX1-10-50-001","Solo lectura","FX1-10-50-000"
"FX1-10-50-002","Permitir Agregar Cajero","FX1-10-50-000"
"FX1-10-50-003","Permitir Modificar Cajero","FX1-10-50-000"
"FX1-10-50-004","Permitir Eliminar Cajero","FX1-10-50-000"
"FX1-10-60-000","Categorías","FX1-10-00-000"
"FX1-10-60-001","Solo lectura","FX1-10-60-000"
"FX1-10-60-002","Permitir Agregar Categoria","FX1-10-60-000"
"FX1-10-60-003","Permitir Modificar Categoria","FX1-10-60-000"
"FX1-10-60-004","Permitir Eliminar Categoria","FX1-10-60-000"
"FX1-10-70-000","Centros de Consumo","FX1-10-00-000"
"FX1-10-70-001","Solo lectura","FX1-10-70-000"
"FX1-10-70-002","Permitir Agregar Centro de Consumo","FX1-10-70-000"
"FX1-10-70-003","Permitir Modificar Centro de Consumo","FX1-10-70-000"
"FX1-10-70-004","Permitir Eliminar Centro de Consumo","FX1-10-70-000"
"FX1-10-80-000","Configuración de Impuestos","FX1-10-00-000"
"FX1-10-80-001","Solo lectura","FX1-10-80-000"
"FX1-10-80-002","Permitir Agregar Configuracion de Impuestos","FX1-10-80-000"
"FX1-10-80-003","Permitir Modificar configuracion de Impuestos","FX1-10-80-000"
"FX1-10-80-004","Permitir Eliminar configuracion de Impuestos","FX1-10-80-000"
"FX1-10-110-000","Contactos","FX1-10-00-000"
"FX1-10-110-001","Solo lectura","FX1-10-110-000"
"FX1-10-110-002","Permitir Agregar Contacto","FX1-10-110-000"
"FX1-10-110-003","Permitir Modificar Contacto","FX1-10-110-000"
"FX1-10-110-004","Permitir Eliminar Contacto","FX1-10-110-000"
"FX1-10-130-000","Departamentos","FX1-10-00-000"
"FX1-10-130-001","Solo lectura","FX1-10-130-000"
"FX1-10-130-002","Permitir Agregar Departamento","FX1-10-130-000"
"FX1-10-130-003","Permitir Modificar Departamento","FX1-10-130-000"
"FX1-10-130-004","Permitir Eliminar Departamento","FX1-10-130-000"
"FX1-10-140-000","Divisas","FX1-10-00-000"
"FX1-10-140-001","Solo lectura","FX1-10-140-000"
"FX1-10-140-002","Permitir Agregar Divisa","FX1-10-140-000"
"FX1-10-140-003","Permitir Modificar Divisa","FX1-10-140-000"
"FX1-10-140-004","Permitir Eliminar Divisa","FX1-10-140-000"
"FX1-10-210-000","Marcas","FX1-10-00-000"
"FX1-10-210-001","Solo lectura","FX1-10-210-000"
"FX1-10-210-002","Permitir Agregar Marcas","FX1-10-210-000"
"FX1-10-210-003","Permitir Modificar MArcas","FX1-10-210-000"
"FX1-10-210-004","Permitir Eliminar Marcas","FX1-10-210-000"
"FX1-10-12-000","Paises, estados","FX1-10-00-000"
"FX1-10-12-001","Solo lectura","FX1-12-00-000"
"FX1-10-12-002","Permitir Agregar paises","FX1-10-12-000"
"FX1-10-12-003","Permitir Modificar paises","FX1-10-12-000"
"FX1-10-12-004","Permitir Eliminar paises","FX1-10-12-000"
