"pack_id","app_id","app_title","created","app_info"
"agentes","catbas.agentes","Agentes",2023-12-26T09:25:59,"Catálogo de agentes"
"almacen","catbas.almacen","Almacenes",2023-12-26T09:25:59,"Catálogo de almacenes"
"bancos","catbas.bancos","Bancos",2023-12-26T09:25:59,"Catálogo de bancos"
"cajas","catbas.cajas","Cajas",2023-12-26T09:25:59,"Catálogo de cajas"
"cajeros","catbas.cajeros","Cajeros",2023-12-26T09:25:59,"Catálogo de cajeros"
"categorias","catbas.categorias","Categorias",2023-12-26T09:25:59,"Catálogo de categorias"
"cconsumo","catbas.cconsumo","Centro de consumo",2023-12-26T09:25:59,"Catálogo de Centro de consumo"
"cfgimpuestos","catbas.cfgimpuestos","Configuración de impuestos",2023-12-26T09:25:59,"Catálogo de Configuración de impuestos"
"contactos","catbas.contactos","Contactos",2023-12-26T09:25:59,"Catálogo de Contactos"
"ctipospolizas","catbas.ctipospolizas","Tipos de polizas",2023-12-26T09:25:59,"Catálogo de Tipos de polizas"
"departamentos","catbas.departamentos","Departamentos",2023-12-26T09:25:59,"Catálogo de Departamentos"
"divisas","catbas.divisas","Divisas",2023-12-26T09:25:59,"Catálogo de Divisas"
"marcas","catbas.marcas","Marcas",2023-12-26T09:25:59,"Catálogo de marcas"
"pais","catbas.pais","País",2023-12-26T09:25:59,"Catálogo de País"
"porteadores","catbas.porteadores","Porteadores",2023-12-26T09:25:59,"Catálogo de Porteadores"
"repartidores","catbas.repartidores","Repartidores",2023-12-26T09:25:59,"Catálogo de Repartidores"
"tarjetacredito","catbas.tarjetacredito","Tarjeta de crédito",2023-12-26T09:25:59,"Catálogo de Tarjeta de crédito"
"aduanas","catbas.aduanas","Aduanas",2023-12-26T09:25:59,"Catálogo de Aduanas"
"zona","catbas.zona","Zonas",2023-12-26T09:25:59,"Catálogo de Zonas"
